Hypothesis File: output_preprocessing.tgt_after_adding_sentence_id
Reference File: post_edition_after_tokenizing_lowercasing.tgt_after_adding_sentence_id
Ave-Reference File: 
            Sent Id |  Ins |  Del |  Sub | Shft | WdSh |  NumEr |  AvNumWd |      TER
 (id_TEST_WMT_48):0 |    0 |    1 |    4 |    1 |    1 |    6.0 |   48.000 |   12.500
 (id_TEST_WMT_49):0 |    0 |    0 |    0 |    0 |    0 |    0.0 |   16.000 |    0.000
 (id_TEST_WMT_50):0 |    0 |    0 |    0 |    0 |    0 |    0.0 |   23.000 |    0.000
 (id_TEST_WMT_51):0 |    0 |    0 |    1 |    0 |    0 |    1.0 |   12.000 |    8.333
 (id_TEST_WMT_52):0 |    0 |    0 |    0 |    0 |    0 |    0.0 |    5.000 |    0.000
 (id_TEST_WMT_53):0 |    0 |    0 |    2 |    0 |    0 |    2.0 |   10.000 |   20.000
 (id_TEST_WMT_54):0 |    0 |    0 |    0 |    0 |    0 |    0.0 |    7.000 |    0.000
 (id_TEST_WMT_55):0 |    0 |    2 |    2 |    0 |    0 |    4.0 |   32.000 |   12.500
 (id_TEST_WMT_56):0 |    2 |    0 |    3 |    0 |    0 |    5.0 |   14.000 |   35.714
 (id_TEST_WMT_57):0 |    0 |    2 |    1 |    0 |    0 |    3.0 |   20.000 |   15.000
 (id_TEST_WMT_58):0 |    0 |    6 |    3 |    0 |    0 |    9.0 |   39.000 |   23.077
 (id_TEST_WMT_59):0 |    6 |    3 |    5 |    3 |    3 |   17.0 |   49.000 |   34.694
 (id_TEST_WMT_60):0 |    0 |    6 |    5 |    2 |    2 |   13.0 |   26.000 |   50.000
 (id_TEST_WMT_61):0 |    1 |    0 |    1 |    1 |    1 |    3.0 |   16.000 |   18.750
 (id_TEST_WMT_62):0 |    0 |    1 |    0 |    0 |    0 |    1.0 |   16.000 |    6.250
 (id_TEST_WMT_63):0 |    1 |    2 |    0 |    2 |    2 |    5.0 |   57.000 |    8.772
 (id_TEST_WMT_64):0 |    0 |    0 |    1 |    0 |    0 |    1.0 |   41.000 |    2.439
 (id_TEST_WMT_65):0 |    0 |    0 |    0 |    0 |    0 |    0.0 |   24.000 |    0.000
 (id_TEST_WMT_66):0 |    2 |    0 |    3 |    0 |    0 |    5.0 |    4.000 |  125.000
 (id_TEST_WMT_67):0 |    0 |    1 |    3 |    0 |    0 |    4.0 |   35.000 |   11.429
